story_id,url,published,player,team,status,date,date_type,quote,notes,verified,reject_reason
1222302,https://www.espncricinfo.com/story/south-african-allrounder-solo-nqweni-announces-news-of-positive-coronavirus-test-1222302,2020-05-07T12:33:29+00:00,Zafar Sarfraz,Pakistan,positive,2020-05-07,retrospective,Nqweni is the third cricketer known to have contracted the disease after Pakistan's Zafar Sarfraz and Scotland's Majid Haq .,"Mentioned in retrospect; story gives no date, so PUBLISHED date used.",True,
1222302,https://www.espncricinfo.com/story/south-african-allrounder-solo-nqweni-announces-news-of-positive-coronavirus-test-1222302,2020-05-07T12:33:29+00:00,Majid Haq,Scotland,positive,2020-05-07,retrospective,Nqweni is the third cricketer known to have contracted the disease after Pakistan's Zafar Sarfraz and Scotland's Majid Haq .,"Mentioned in retrospect; story gives no date, so PUBLISHED date used.",True,
29145747,https://www.espncricinfo.com/story/_/id/29145747/south-african-allrounder-solo-nqweni-announces-news-positive-coronavirus-test,2020-05-07T12:33:29+00:00,Zafar Sarfraz,Pakistan,positive,2020-05-07,retrospective,Nqweni is the third cricketer known to have contracted the disease after Pakistan's Zafar Sarfraz and Scotland's Majid Haq .,"Mentioned in retrospect; story gives no date, so PUBLISHED date used.",True,
29145747,https://www.espncricinfo.com/story/_/id/29145747/south-african-allrounder-solo-nqweni-announces-news-positive-coronavirus-test,2020-05-07T12:33:29+00:00,Majid Haq,Scotland,positive,2020-05-07,retrospective,Nqweni is the third cricketer known to have contracted the disease after Pakistan's Zafar Sarfraz and Scotland's Majid Haq .,"Mentioned in retrospect; story gives no date, so PUBLISHED date used.",True,
1219320,https://www.espncricinfo.com/story/covid-19-list-of-all-the-cricket-series-affected-by-coronaviruss-full-coverage-1219320,2020-03-13T17:23:00+00:00,Kyle Jarvis,,positive,2021-02-11,retrospective,"When Kyle Jarvis had Covid-19, malaria and tick bite fever","Headline in coverage-timeline list (PUBLISHED field 2020-03-13 is the page's original date); date is the list entry's day, year 2021 inferred from neighbouring entries (IPL 2021, Vijay Hazare 2020-21). Past infection; infection date not given, list-entry date used.",True,
28898417,https://www.espncricinfo.com/story/_/id/28898417/list-all-cricket-series-affected-coronavirus-full-coverage,2020-03-13T17:23:00+00:00,Kyle Jarvis,,positive,2021-02-11,retrospective,"When Kyle Jarvis had Covid-19, malaria and tick bite fever","Headline in coverage-timeline list (PUBLISHED field 2020-03-13 is the page's original date); date is the list entry's day, year 2021 inferred from neighbouring entries (IPL 2021, Vijay Hazare 2020-21). Past infection; infection date not given, list-entry date used.",True,
1225015,https://www.espncricinfo.com/story/shahid-afridi-tests-positive-for-covid-19-1225015,2020-06-13T09:35:22+00:00,Taufeeq Umar,Pakistan,positive,2020-06-13,retrospective,"Afridi became the third cricketer from Pakistan, and the second international after former opener Taufeeq Umar , to have contracted the virus.","Earlier infection mentioned in retrospect; no date given, published date used.",True,
29305647,https://www.espncricinfo.com/story/_/id/29305647/shahid-afridi-tests-positive-covid-19,2020-06-13T09:35:22+00:00,Taufeeq Umar,Pakistan,positive,2020-06-13,retrospective,"Afridi became the third cricketer from Pakistan, and the second international after former opener Taufeeq Umar , to have contracted the virus.","Earlier infection mentioned in retrospect; no date given, published date used.",True,
1225015,https://www.espncricinfo.com/story/shahid-afridi-tests-positive-for-covid-19-1225015,2020-06-13T09:35:22+00:00,Zafar Sarfraz,Pakistan,positive,2020-06-13,retrospective,"Zafar Sarfraz, the former first-class cricketer who died of the disease , was the first.","Former first-class cricketer; died of Covid-19; mentioned in retrospect, no date given.",True,
29305647,https://www.espncricinfo.com/story/_/id/29305647/shahid-afridi-tests-positive-covid-19,2020-06-13T09:35:22+00:00,Zafar Sarfraz,Pakistan,positive,2020-06-13,retrospective,"Zafar Sarfraz, the former first-class cricketer who died of the disease , was the first.","Former first-class cricketer; died of Covid-19; mentioned in retrospect, no date given.",True,
1225449,https://www.espncricinfo.com/story/shadab-khan-haris-rauf-haider-ali-test-positive-for-covid-19-1225449,2020-06-22T16:20:18+00:00,Shahid Afridi,Pakistan,positive,2020-06-22,retrospective,"Last week, former Pakistan captain Shahid Afridi announced he had tested positive for the virus, and was self-isolating.",Announced 'last week' relative to published date; exact date not in text.,True,
29347984,"https://www.espncricinfo.com/story/_/id/29347984/shadab-khan,-haris-rauf,-haider-ali-test-positive-covid-19",2020-06-22T16:20:18+00:00,Shahid Afridi,Pakistan,positive,2020-06-22,retrospective,"Last week, former Pakistan captain Shahid Afridi announced he had tested positive for the virus, and was self-isolating.",Announced 'last week' relative to published date; exact date not in text.,True,
1225449,https://www.espncricinfo.com/story/shadab-khan-haris-rauf-haider-ali-test-positive-for-covid-19-1225449,2020-06-22T16:20:18+00:00,Taufeeq Umar,Pakistan,positive,2020-06-22,retrospective,"Taufeeq Umar also contracted the virus, going on to make a full recovery.","Past infection, recovered; no date given.",True,
29347984,"https://www.espncricinfo.com/story/_/id/29347984/shadab-khan,-haris-rauf,-haider-ali-test-positive-covid-19",2020-06-22T16:20:18+00:00,Taufeeq Umar,Pakistan,positive,2020-06-22,retrospective,"Taufeeq Umar also contracted the virus, going on to make a full recovery.","Past infection, recovered; no date given.",True,
1225794,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-return-negative-results-in-pcb-covid-19-retests-1225794,2020-06-27T11:35:38+00:00,Mohammad Hafeez,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
29373424,"https://www.espncricinfo.com/story/_/id/29373424/mohammad-hafeez,-five-others-return-negative-results-pcb-covid-19-restests",2020-06-27T11:35:38+00:00,Mohammad Hafeez,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
1225794,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-return-negative-results-in-pcb-covid-19-retests-1225794,2020-06-27T11:35:38+00:00,Wahab Riaz,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
29373424,"https://www.espncricinfo.com/story/_/id/29373424/mohammad-hafeez,-five-others-return-negative-results-pcb-covid-19-restests",2020-06-27T11:35:38+00:00,Wahab Riaz,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
1225794,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-return-negative-results-in-pcb-covid-19-retests-1225794,2020-06-27T11:35:38+00:00,Fakhar Zaman,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
29373424,"https://www.espncricinfo.com/story/_/id/29373424/mohammad-hafeez,-five-others-return-negative-results-pcb-covid-19-restests",2020-06-27T11:35:38+00:00,Fakhar Zaman,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
1225794,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-return-negative-results-in-pcb-covid-19-retests-1225794,2020-06-27T11:35:38+00:00,Shadab Khan,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
29373424,"https://www.espncricinfo.com/story/_/id/29373424/mohammad-hafeez,-five-others-return-negative-results-pcb-covid-19-restests",2020-06-27T11:35:38+00:00,Shadab Khan,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
1225794,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-return-negative-results-in-pcb-covid-19-retests-1225794,2020-06-27T11:35:38+00:00,Mohammad Rizwan,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
29373424,"https://www.espncricinfo.com/story/_/id/29373424/mohammad-hafeez,-five-others-return-negative-results-pcb-covid-19-restests",2020-06-27T11:35:38+00:00,Mohammad Rizwan,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
1225794,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-return-negative-results-in-pcb-covid-19-retests-1225794,2020-06-27T11:35:38+00:00,Mohammad Hasnain,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
29373424,"https://www.espncricinfo.com/story/_/id/29373424/mohammad-hafeez,-five-others-return-negative-results-pcb-covid-19-restests",2020-06-27T11:35:38+00:00,Mohammad Hasnain,Pakistan,positive,2020-06-21,retrospective,"Six of the ten Pakistani cricketers who had earlier tested positive for Covid-19 - Mohammad Hafeez , Wahab Riaz , Fakhar Zaman , Shadab Khan , Mohammad Rizwan and Mohammad Hasnain - have returned negative results when tested again, Wasim Khan, the PCB chief executive, announced on Saturday.",Earlier positive; Wasim Khan says positive tests carried out on the 21st; negative on retest announced 2020-06-27.,True,
1225902,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-to-join-pakistan-squad-in-england-after-second-negative-covid-19-test-1225902,2020-06-30T06:42:10+00:00,Mohammad Hafeez,Pakistan,positive,2020-06-30,retrospective,"Among the players that will now join the squad, Hafeez and Riaz had earlier tested themselves at a private laboratory in the wake of their returning positive results after the first round of testing by the PCB.","Earlier PCB positive; now two negatives. Other four in this group not explicitly stated as earlier positive in this story, so omitted.",True,
29385923,"https://www.espncricinfo.com/story/_/id/29385923/mohammad-hafeez,-five-others-join-squad-worcester-following-second-negative-covid-19-tests",2020-06-30T06:42:10+00:00,Mohammad Hafeez,Pakistan,positive,2020-06-30,retrospective,"Among the players that will now join the squad, Hafeez and Riaz had earlier tested themselves at a private laboratory in the wake of their returning positive results after the first round of testing by the PCB.","Earlier PCB positive; now two negatives. Other four in this group not explicitly stated as earlier positive in this story, so omitted.",True,
1225902,https://www.espncricinfo.com/story/mohammad-hafeez-five-others-to-join-pakistan-squad-in-england-after-second-negative-covid-19-test-1225902,2020-06-30T06:42:10+00:00,Wahab Riaz,Pakistan,positive,2020-06-30,retrospective,"Among the players that will now join the squad, Hafeez and Riaz had earlier tested themselves at a private laboratory in the wake of their returning positive results after the first round of testing by the PCB.","Earlier PCB positive; now two negatives. Other four in this group not explicitly stated as earlier positive in this story, so omitted.",True,
29385923,"https://www.espncricinfo.com/story/_/id/29385923/mohammad-hafeez,-five-others-join-squad-worcester-following-second-negative-covid-19-tests",2020-06-30T06:42:10+00:00,Wahab Riaz,Pakistan,positive,2020-06-30,retrospective,"Among the players that will now join the squad, Hafeez and Riaz had earlier tested themselves at a private laboratory in the wake of their returning positive results after the first round of testing by the PCB.","Earlier PCB positive; now two negatives. Other four in this group not explicitly stated as earlier positive in this story, so omitted.",True,
1226267,https://www.espncricinfo.com/story/haider-ali-imran-khan-and-kashif-bhatti-return-two-negative-tests-for-covid-19-1226267,2020-07-06T08:23:46+00:00,Haider Ali,Pakistan,positive,2020-07-06,retrospective,Rauf is now the only player still returning positive tests among the ten who originally tested positive last month .,Implied among the ten originally positive in June; returned negatives July 1 and 4.,True,
