player,player_id,reason
Sarfaraz Ahmed,2254ab79,Cricsheet spells Sarfraz Ahmed; Pakistan wicketkeeper; auto-match to S Waqas Ahmed was wrong
Melie Kerr,7673c908,Melie is Amelia Kerr (AC Kerr); auto-match to JM Kerr was her sister Jess
Axar Patel,2e171977,AR Patel plays for India and Delhi Capitals; AY Patel is a New Zealand domestic player
Deepak Chahar,23eeb873,DL Chahar plays for Chennai Super Kings; RD Chahar is Rahul Chahar
Asitha Fernando,de3d549a,AM Fernando is the Sri Lanka fast bowler Asitha; WIA Fernando is Avishka
Binura Fernando,dabbd0ae,B Fernando first appears Nov 2020 (LPL) as Binura; BOP Fernando first appears Feb 2019 as Oshada Fernando
Dhananjaya de Silva,7d608e12,DM de Silva is Dhananjaya; NND de Silva is Nishan
Imran Khan,2b0f2af3,Imran Khan with Pakistan and Multan Sultans appearances; others are Portugal/Bahrain/Fiji players
Joe Burns,7a5f232a,JA Burns plays for Queensland and Melbourne Stars; RJ Burns is Rory Burns (Surrey)
Lahiru Kumara,4751caa3,CBRLS Kumara is the Sri Lanka fast bowler; BLCS Kumara plays for Cyprus
Shiran Fernando,5838cb64,SIP Fernando is the only Sri Lanka candidate
Varun Chakravarthy,5b7ab5a9,Cricsheet records him as CV Varun (KKR; India)
Kyle Hope,c59d8f8a,KA Hope (West Indies); no Cricsheet appearances after 2017
Kashif Bhatti,e93f608d,Only Kashif Bhatti in Cricsheet (one 2017 appearance)
Aryan Lakra,099135ad,Only Aryan Lakra in Cricsheet (UAE)
Mohammad Faizan,1574f3fe,Cricsheet spells Muhammad Faizan (Lahore Qalandars)
Solo Nqweni,179bea21,SSN Nqweni (Warriors); last Cricsheet appearance Dec 2017
Afy Fletcher,42d9dd09,ASS Fletcher is the West Indies women spinner; ADS Fletcher is Andre Fletcher
Fabian Allen,b52ffbbd,FA Allen plays for West Indies; FH Allen is Finn Allen
Finn Allen,bf74b130,FH Allen plays for New Zealand
Steven Taylor,a9231c3f,"SR Taylor (male, USA); the female SR Taylor is Stafanie Taylor"
Tom Rogers,7f232d46,TF Rogers plays for Melbourne Stars; TS Rogers plays for Hobart and Tasmania
Wanindu Hasaranga,a97c8ec2,Cricsheet records Hasaranga as PWH de Silva
Aaradhya Yadav,NONE,No India U19 record; the automatic match SA Yadav is Suryakumar Yadav
Siddarth Yadav,NONE,No India U19 record; the automatic match SA Yadav is Suryakumar Yadav
Kusal Perera,f21043a5,MDKJ Perera is Kusal Janith Perera; MDK Perera is Dilruwan Perera
Kusal Mendis,5d1e7582,BKG Mendis is Kusal Mendis
Harry Tector,59ea70a4,HT Tector plays for Ireland; TH and JB Tector are his brothers
Rohit Sharma,740742ef,RG Sharma plays for India and Mumbai Indians
Ashton Agar,a2421394,AC Agar plays for Australia; WA Agar is Wes Agar
Avishka Fernando,9550470d,WIA Fernando is Avishka Fernando
Imran Butt,72683b68,Pakistan batter; the other Imran Butt plays for Bahrain
Mansi Joshi,47fb8d80,M Joshi (India women); other Joshis are men
Ollie Robinson,0f3ee070,"OE Robinson (Sussex, England); OG Robinson is the Kent/Durham batter"
Sarfaraz Khan,f088b960,SN Khan (Mumbai)
Ebadot Hossain,cb5100f1,Cricsheet spells Ebadat Hossain
Brayden Stepien,a7060c81,BJ Stepien (Melbourne Renegades); no appearances after Jan 2020
Marquino Mindley,b88fa6fe,MJ Mindley (West Indies)
Mahmudul Hasan,4b51bd51,"Same player as Mahmudul Hasan Joy (Gazi Group Chattogram, Nov 2020)"
Chetan Chauhan,NONE,"Former India player, retired; no Cricsheet record in window"
Glenn McGrath,NONE,Retired; not a player in the window
Dennis Bulli,NONE,No Cricsheet record
Geet Puri,NONE,No Cricsheet record
Kazi Junaid Saifi,NONE,No Cricsheet record
Iftekhar Hossain,NONE,No Cricsheet record (Bangladesh U19)
Manav Parakh,NONE,No Cricsheet record (India U19)
Onaje Amory,NONE,No Cricsheet record (West Indies U19)
Shreyan Chakraborty,NONE,No Cricsheet record
