player,episode,date,team_reported,status,player_id,cricsheet_name,candidates
Aaradhya Yadav,1,2022-01-19,India U19,manual: No India U19 record; the automatic match SA Yadav is Suryakumar Yadav,,SA Yadav,SA Yadav [271f83cd] India; Mumbai Indians; Mumbai; Kolkata Knight Riders n=222
Aaron Jones,1,2021-12-21,USA,unique,17aa4f1d,Aaron Jones,Aaron Jones [17aa4f1d] United States of America; Rangpur Riders n=69
Abdul Bangalzai,1,2022-01-06,Pakistan U19,unique,0251a22f,Abdul Bangalzai,Abdul Bangalzai [0251a22f] Quetta Gladiators n=5
Abid Ali,1,2020-11-24,Pakistan,unique,5d836a72,Abid Ali,Abid Ali [5d836a72] Pakistan n=22
Abu Jayed,1,2020-09-23,Bangladesh,unique,1bb0993e,Abu Jayed,Abu Jayed [1bb0993e] Bangladesh; Chittagong Vikings; Khulna Titans; Rajshahi Royals n=54
Adam Zampa,1,2022-10-25,Australia,unique,14f96089,A Zampa,A Zampa [14f96089] Australia; Melbourne Stars; Essex; Jamaica Tallawahs n=287
Adnan Akmal,1,2020-12-02,Pakistan (domestic),unmatched,,,
Afy Fletcher,1,2022-03-29,West Indies women,manual: ASS Fletcher is the West Indies women spinner; ADS Fletcher is Andre Fletcher,42d9dd09,,ADS Fletcher [1bae756b] West Indies; St Lucia Zouks; St Lucia Stars; St Kitts and Nevis Patriots n=167 | ASS Fletcher [42d9dd09] West Indies; Windward Islands; Barbados Royals n=107
Aiden Markram,1,2022-06-09,South Africa,unique,6a26221c,AK Markram,AK Markram [6a26221c] South Africa; Sunrisers Hyderabad; Sunrisers Eastern Cape; Titans n=217
Akeal Hosein,1,2021-12-15,West Indies,unique,4d7f517e,AJ Hosein,AJ Hosein [4d7f517e] West Indies; Trinbago Knight Riders; Barbados Tridents; Melbourne Renegades n=158
Alex Hales,1,2021-12-30,Sydney Thunder (England),unique,92aeac25,AD Hales,AD Hales [92aeac25] Nottinghamshire; England; Sydney Thunder; Islamabad United n=335
Alex Ross,1,2021-12-30,Sydney Thunder,unique,fb0d68b4,AI Ross,AI Ross [fb0d68b4] Sydney Thunder; Brisbane Heat; Dambulla Aura; South Australia n=88
Alishan Sharafu,1,2021-01-09,UAE,unique,06cad4f0,A Sharafu,A Sharafu [06cad4f0] United Arab Emirates; Sharjah Warriors n=29
Amit Mishra,1,2021-05-04,Delhi Capitals,unique,6b19d823,A Mishra,A Mishra [6b19d823] Haryana; Delhi Daredevils; Delhi Capitals; Lucknow Super Giants n=77
Anderson Phillip,1,2021-12-31,West Indies,unique,f2665768,A Phillip,A Phillip [f2665768] Trinbago Knight Riders; West Indies n=25
Andy Balbirnie,1,2022-01-10,Ireland,unique,6ef13460,A Balbirnie,A Balbirnie [6ef13460] Ireland; Leinster Lightning; Glamorgan; Khulna Tigers n=205
Angelo Mathews,1,2022-06-30,Sri Lanka,unique,896d78ad,AD Mathews,AD Mathews [896d78ad] Sri Lanka; Colombo Stars; B-Love Kandy; Colombo Kings n=135
Anrich Nortje,1,2021-04-14,Delhi Capitals,unique,acdc62f5,A Nortje,A Nortje [acdc62f5] South Africa; Delhi Capitals; Pretoria Capitals; Cape Town Blitz n=144
